GoverningDistrictID,CountryID,Name,Code,TaxRate
1,840,Alabama,AL,
2,840,Alaska,AK,
3,840,American Samoa,AS,
4,840,Arizona,AZ,
5,840,Arkansas,AR,
6,840,California,CA,
7,840,Colorado,CO,
8,840,Connecticut,CT,
9,840,Delaware,DE,
10,840,District Of Columbia,DC,
11,840,Federated States Of Micronesia,FM,
12,840,Florida,FL,
13,840,Georgia,GA,
14,840,Guam Gu,GU,
15,840,Hawaii,HI,
16,840,Idaho,ID,
17,840,Illinois,IL,
18,840,Indiana,IN,
19,840,Iowa,IA,
20,840,Kansas,KS,
21,840,Kentucky,KY,
22,840,Louisiana,LA,
23,840,Maine,ME,
24,840,Marshall Islands,MH,
25,840,Maryland,MD,
26,840,Massachusetts,MA,
27,840,Michigan,MI,0.06
28,840,Minnesota,MN,
29,840,Mississippi,MS,
30,840,Missouri,MO,
31,840,Montana,MT,
32,840,Nebraska,NE,
33,840,Nevada,NV,
34,840,New Hampshire,NH,
35,840,New Jersey,NJ,
36,840,New Mexico,NM,
37,840,New York,NY,
38,840,North Carolina,NC,
39,840,North Dakota,ND,
40,840,Northern Mariana Islands,MP,
41,840,Ohio,OH,
42,840,Oklahoma,OK,
43,840,Oregon,OR,
44,840,Palau,PW,
45,840,Pennsylvania,PA,
46,840,Puerto Rico,PR,
47,840,Rhode Island,RI,
48,840,South Carolina,SC,
49,840,South Dakota,SD,
50,840,Tennessee,TN,
51,840,Texas,TX,
52,840,Utah,UT,
53,840,Vermont,VT,
54,840,Virgin Islands,VI,
55,840,Virginia,VA,
56,840,Washington,WA,
57,840,West Virginia,WV,
58,840,Wisconsin,WI,
59,840,Wyoming,WY,
60,124,Alberta,AB,
61,124,British Columbia,BC,
62,124,Manitoba,MB,
63,124,New Brunswick,NB,
64,124,Newfoundland and Labrador,NL,
65,124,Northwest Territories,NT,
66,124,Nova Scotia,NS,
67,124,Nunavut,NU,
68,124,Ontario,ON,
69,124,Prince Edward Island,PE,
70,124,Quebec,QC,
71,124,Saskatchewan,SK,
72,124,Yukon,YT,
