1,ACS Alaska,@msg.acsalaska.com
2,Alltel,@message.alltel.com
3,Ameritech,@paging.acswireless.com
4,Arch,@archwireless.net
5,AT&T,@txt.att.net
6,Bell Canada,@txt.bellmobility.ca
7,Blue Sky Frog,@blueskyfrog.com
8,Boost,@myboostmobile.com
9,Carolina West,@cwwsms.com
10,Cellular One,@mobile.celloneusa.com
11,Cellular South,@csouth1.com
12,Cincinnati Bell,@gocbw.com
13,Cingular,@mobile.mycingular.com
14,Cingular Blue,@mmode.com
15,Claro,@clarotorpedo.com.br
16,Comviq,@sms.comviq.se
17,Cricket,@mms.mycricket.com
18,Edge,@sms.edgewireless.com
19,Einstein PCS,@einsteinsms.com
20,Fido,@fido.ca
21,Immix,@immixmail.com
22,Metro PCS,@mymetropcs.com
23,Mobile One,@m1.com.sg
24,MTN Africa,@sms.co.za
25,Nextel,@messaging.nextel.com
26,Ntelos,@pcs.ntelos.com
27,Optus,@optusmobile.com.au
28,Orange,@orange.net
29,Orange Poland,@orange.pl
30,Plus Poland,@text.plusgsm.pl
31,Qwest,@qwestmp.com
32,Rogers,@pcs.rogers.com
33,Sasktel,@pcs.sasktelmobility.com
34,Smart,@mysmart.mymobile.ph
35,Smart Telecom,@mysmart.mymobile.ph
36,Southern Linc,@page.southernlinc.com
37,Sprint,@messaging.sprintpcs.com
38,SunCom,@tms.suncom.com
39,Sure West,@mobile.surewest.com
40,SwissCom,@bluewin.ch
41,T Mobile,@tmomail.net
42,T Mobile (Ger),@T-D1-SMS.de
43,T Mobile UK,@t-mobile.uk.net
44,TBayTel,@tbayteltxt.net
45,Telenor,@mobilpost.no
46,Telus,@msg.telus.com
47,Tim,@timnet.com
48,Unicel,@utext.com
49,V Mobile CA,@vmobile.ca
50,Verizon,@vtext.com
51,Virgin Mobile,@vmobl.com
52,Vodacom Africa,@voda.co.za
53,Vodafone,@vodafone.net
54,Vodafone Italy,@sms.vodafone.it
55,WellCom,@sms.welcome2well.com
